book_author,book_href,book_publish_date,book_publisher,book_rating_counting,book_rating_nums,book_src,book_title
李允鉌,https://book.douban.com/subject/1319910/,2005-5-1,天津大学出版社,1886人评价,9.2,https://img1.doubanio.com/lpic/s1852868.jpg,华夏意匠
[英] 吉米·哈利,https://book.douban.com/subject/5410174/,2011-1,中国城市出版社,1562人评价,9.1,https://img3.doubanio.com/lpic/s4671512.jpg,万物刹那又永恒
托尼•赖斯,https://book.douban.com/subject/10439064/,2012-1-1,商务印书馆,3427人评价,9.0,https://img1.doubanio.com/lpic/s7045008.jpg,发现之旅
,https://book.douban.com/subject/1000888/,1980,中华书局,2230人评价,9.0,https://img1.doubanio.com/lpic/s1670329.jpg,論語譯註
梁漱溟,https://book.douban.com/subject/1315213/,2005-05,上海人民出版社,1938人评价,9.0,https://img3.doubanio.com/lpic/s1331483.jpg,中国文化要义
鲁迅,https://book.douban.com/subject/1915958/,1973年3月,人民文学出版社,4298人评价,9.2,https://img1.doubanio.com/lpic/s2364689.jpg,野草
瞿同祖,https://book.douban.com/subject/1224279/,2003-09-01,中华书局,1308人评价,9.2,https://img5.doubanio.com/lpic/s1558956.jpg,中国法律与中国社会
南怀瑾,https://book.douban.com/subject/2149717/,2007.6,上海人民出版社,2188人评价,8.9,https://img3.doubanio.com/lpic/s5768703.jpg,庄子諵譁（上）
王力 主编,https://book.douban.com/subject/1072316/,1999-5,中华书局,1996人评价,9.2,https://img1.doubanio.com/lpic/s9258438.jpg,古代汉语（第一册）
C.S.路易斯,https://book.douban.com/subject/2066374/,2007-3,华东师范大学出版社,1647人评价,9.1,https://img5.doubanio.com/lpic/s2527436.jpg,返璞归真
（英）西蒙・辛格,https://book.douban.com/subject/1322358/,2005-05-01,上海译文出版社,1745人评价,9.0,https://img1.doubanio.com/lpic/s1331728.jpg,费马大定理
"[美] 加来道雄（Kaku, M）",https://book.douban.com/subject/3930318/,2009-6,上海科技教育出版社,2601人评价,9.0,https://img3.doubanio.com/lpic/s3980835.jpg,超越时空
[清] 沈德潛,https://book.douban.com/subject/1081144/,2006-4,中华书局,1451人评价,9.3,https://img1.doubanio.com/lpic/s6847949.jpg,古詩源
于娟,https://book.douban.com/subject/6397275/,2011-5,湖南科技出版社,10079人评价,8.9,https://img3.doubanio.com/lpic/s6343233.jpg,此生未完成
[葡萄牙]费尔南多·佩索阿,https://book.douban.com/subject/1015864/,1995年5月第一版,上海文艺出版社,2712人评价,9.0,https://img3.doubanio.com/lpic/s1113041.jpg,惶然录
蒋勋,https://book.douban.com/subject/5040220/,2010-9,上海三联书店,4007人评价,9.0,https://img3.doubanio.com/lpic/s6216343.jpg,蒋勋说红楼梦（第一辑）
[美] 罗伯特·所罗门,https://book.douban.com/subject/1071227/,2011-1,广西师范大学出版社,2969人评价,9.0,https://img3.doubanio.com/lpic/s4573783.jpg,大问题
[阿根廷]豪·路·博尔赫斯,https://book.douban.com/subject/3003258/,2008-2,浙江文艺出版社,1500人评价,9.2,https://img1.doubanio.com/lpic/s2958527.jpg,阿莱夫
[美]哈珀·李,https://book.douban.com/subject/3597031/,2009-2-1,译林出版社,3176人评价,9.1,https://img3.doubanio.com/lpic/s3684890.jpg,杀死一只反舌鸟
[美] 罗伯特·麦基,https://book.douban.com/subject/1115748/,2001-8,中国电影出版社,4670人评价,9.2,https://img5.doubanio.com/lpic/s2361866.jpg,故事
[奥] 维特根斯坦,https://book.douban.com/subject/1005354/,1996-12,商务印书馆,1519人评价,9.1,https://img3.doubanio.com/lpic/s2704503.jpg,逻辑哲学论
[德]赫尔曼·黑塞,https://book.douban.com/subject/2165063/,2007-7,上海译文出版社,2313人评价,9.2,https://img3.doubanio.com/lpic/s2623252.jpg,纳尔齐斯与歌尔德蒙
(意)伊塔洛·卡尔维诺,https://book.douban.com/subject/3643270/,2009-3,译林出版社,1731人评价,9.1,https://img5.doubanio.com/lpic/s3709316.jpg,新千年文学备忘录
陈忠实,https://book.douban.com/subject/3091368/,2008-5,北京十月文艺出版社,5507人评价,9.1,https://img3.doubanio.com/lpic/s4603422.jpg,白鹿原
[阿根廷] 豪·路·博尔赫斯,https://book.douban.com/subject/1083089/,1999-11,浙江文艺出版社,1751人评价,9.4,https://img1.doubanio.com/lpic/s1789739.jpg,博尔赫斯全集
张爱玲,https://book.douban.com/subject/1055128/,2003-1-1,经济日报出版社,2597人评价,9.0,https://img3.doubanio.com/lpic/s2215584.jpg,传奇(上下)
